GLCMcorrelation,GlobalEntropy,LBPentropy,EdgeDensity,EnergyRatio,SpectralVariance,Mean_RGB,Std_RGB,Skew_RGB,Label
0.9571325,7.416259,9.416031,0.229273,0.7608775,1.53027,104.9665,57.13452,-0.1299911,0
0.9498198,7.265739,15.78674,0.1523222,0.7629889,1.453152,107.6832,58.4143,-0.4771323,0
0.9156323,5.929127,9.072197,0.1755952,0.7618591,1.230245,39.18776,27.16913,2.254079,0
0.9389967,7.539637,10.96959,0.2003882,0.7757186,1.006889,109.0326,64.34681,-0.2055544,0
0.9498938,7.078509,9.120899,0.213648,0.7763637,1.115938,109.4764,40.9855,-0.5602946,0
0.8820819,6.320424,15.86015,0.1830357,0.7598484,1.297751,57.12017,27.97158,2.017848,0
0.9004206,7.062762,15.67891,0.1780175,0.7617332,1.397947,96.11663,41.49154,-0.4748846,0
0.8417588,6.863727,11.6719,0.1712372,0.7666386,1.266638,64.50883,43.6911,0.8207437,0
0.9541969,6.904643,8.872549,0.1785714,0.7591525,1.519799,89.57178,39.52905,-0.3858765,0
0.9415244,7.090177,13.0004,0.2095025,0.7630332,1.382156,66.31264,43.86458,1.489988,0
0.920656,6.449387,11.31401,0.1957908,0.7621922,1.330136,39.2485,31.09839,1.690994,0
0.9197463,7.345858,11.0294,0.1878189,0.7717056,1.615736,93.79694,67.73901,0.3685031,0
0.8272986,7.129688,5.24492,0.2833675,0.7771658,0.9535772,78.23064,59.74204,0.6143728,0
0.9237719,7.126738,12.14539,0.1642219,0.762105,1.527155,61.20098,41.95515,0.4835727,0
0.9689249,6.82775,11.81161,0.1855867,0.7703316,1.205996,145.1519,57.55262,-1.355759,0
0.9428794,7.581346,7.085784,0.1846301,0.7665928,1.289385,106.0516,57.74556,-0.03330224,0
0.9532325,7.026008,11.74535,0.2047194,0.7698406,1.194854,143.6966,57.55223,-1.194166,0
0.9424532,7.850218,13.31216,0.1890944,0.7687654,1.482835,125.9494,71.89005,-0.1442683,0
0.9411892,6.923272,9.998054,0.2271429,0.7688437,1.463452,105.8635,37.38018,0.828839,0
0.9566463,6.721985,9.783121,0.1808973,0.7612083,1.313431,99.07413,36.67112,-1.014722,0
0.9165466,7.541083,7.957192,0.2302296,0.7852294,1.055519,76.36243,54.37456,0.5680035,0
0.9087963,7.764239,7.043323,0.2107623,0.7898737,0.7602854,92.58524,66.8804,0.3410048,0
0.9022597,7.289749,10.20973,0.1810345,0.7604572,1.716666,93.01923,47.48546,0.9252048,0
0.9599062,7.203979,11.89185,0.2012117,0.7718747,1.132226,61.99214,60.84161,1.155755,0
0.8512195,7.400276,11.91789,0.1951531,0.7721677,1.274407,89.00777,51.73315,0.5771859,0
0.9626254,6.21166,6.561436,0.2289541,0.7643501,1.075278,84.47861,38.74331,-1.218159,0
0.9696749,7.60042,16.2134,0.1817602,0.7628456,1.450996,127.7653,54.19136,0.3632432,0
0.9544791,6.822989,10.85905,0.1996173,0.7774,1.15418,101.5277,44.08942,-0.9192858,0
0.9631075,7.101124,11.63812,0.171875,0.7634508,1.449537,114.2743,50.68156,-0.7050378,0
0.9410689,6.993796,8.985339,0.192602,0.7660679,1.522056,86.92312,47.09309,0.9039369,0
0.9541991,6.825837,12.2481,0.1954719,0.7589533,1.530647,83.59327,33.56171,-0.1888324,0
0.9735057,7.362783,9.301627,0.1776148,0.7560801,1.462976,113.7909,61.38926,0.0399936,0
0.9636282,7.237963,9.462397,0.1677296,0.7632025,1.533515,102.0885,51.06684,-0.5438955,0
0.9437501,7.093264,16.4166,0.1894133,0.7694301,1.103685,109.3465,41.502,0.566598,0
0.8401814,6.820482,12.08004,0.1788903,0.7625448,1.389615,50.27556,53.88182,2.266225,0
0.9176058,7.176561,9.128977,0.3013393,0.7706568,1.132333,75.40919,42.20155,0.6303484,0
0.9549457,7.545562,10.27477,0.2219388,0.7827488,0.9633511,142.7072,71.93647,-0.7518222,0
0.9295041,7.201113,12.06166,0.213648,0.7649622,1.30746,81.34092,48.61672,0.4598206,0
0.7694569,5.103165,12.31643,0.2382015,0.7614259,1.060064,30.58343,9.392321,0.710708,0
0.9099321,6.5786,10.82456,0.2152423,0.7797201,1.075469,102.2636,39.45971,-1.174016,0
0.9450358,7.150267,11.29461,0.2592475,0.7737482,1.242637,81.23422,47.50312,0.02724375,0
0.9303427,6.535903,9.607396,0.21875,0.770053,1.196188,84.94158,31.58248,-0.629844,0
0.9351788,6.663757,11.29249,0.2015306,0.76774,1.316447,50.14508,41.68077,1.574394,0
0.9351172,7.512635,8.730367,0.1574074,0.7624493,1.493944,134.1413,77.97182,0.01097118,0
0.9491554,7.163093,12.77729,0.1581633,0.754447,1.520693,67.70162,50.62633,0.8788683,0
0.969213,7.425982,12.42374,0.1862245,0.7625991,1.349399,94.89747,57.71234,0.03820192,0
0.9432296,7.140251,11.49044,0.2014886,0.7670454,1.212581,72.00105,43.49852,0.5949964,0
0.9584312,7.695551,15.39035,0.1996173,0.7694747,1.157902,119.9419,59.15473,-0.2772176,0
0.9287159,7.680617,9.406764,0.1923355,0.7665284,1.360224,90.13036,62.71158,0.5638925,0
0.9117287,7.741358,15.14426,0.176977,0.7673178,1.412991,110.4496,58.40329,0.382509,0
0.9479202,6.768126,9.11203,0.1916454,0.7642663,1.232144,55.19291,58.39869,1.176653,0
0.9185095,7.162761,9.682664,0.2018495,0.7639059,1.253914,67.62054,41.69373,0.7594723,0
0.9023159,6.714329,10.04868,0.2022873,0.7651592,1.216923,50.98352,30.99786,1.104713,0
0.8205355,6.270631,14.83663,0.2665816,0.7698423,1.039156,108.3073,19.5101,0.566803,0
0.9149173,7.169213,11.98528,0.1859056,0.771545,1.28213,62.64248,45.77557,1.475901,0
0.8925008,6.942657,13.07684,0.190051,0.7679197,1.246412,58.6642,40.58615,1.685836,0
0.9439383,6.647872,12.74688,0.2117347,0.7653684,1.171067,105.3496,37.362,-1.107455,0
0.9609774,7.06497,9.2811,0.2283163,0.7733796,0.997519,124.2292,46.91857,-1.167018,0
