pca_feat0,pca_feat1,pca_feat2,pca_feat3,pca_feat4,pca_feat5,pca_feat6,pca_feat7,pca_feat8,pca_feat9,pca_feat10,pca_feat11,pca_feat12,pca_feat13,pca_feat14,pca_feat15,pca_feat16,pca_feat17,pca_feat18,pca_feat19,pca_feat20,pca_feat21,pca_feat22,pca_feat23,pca_feat24,pca_feat25,pca_feat26,pca_feat27,pca_feat28,pca_feat29,pca_feat30,pca_feat31,pca_feat32,pca_feat33,pca_feat34,pca_feat35,pca_feat36,pca_feat37,pca_feat38,pca_feat39,pca_feat40,pca_feat41,pca_feat42,pca_feat43,pca_feat44,pca_feat45,pca_feat46,pca_feat47,pca_feat48,pca_feat49,Label
1.1357931,-0.85620016,3.5828753,-10.119273,6.0525303,6.2367406,-0.754107,-2.8197603,-15.90419,-4.2154665,-3.9340134,-5.2377796,2.6581182,9.328172,-6.880403,-4.3357377,-7.5134063,1.6839664,8.745835,5.0751824,-3.9368815,-7.215323,-5.7874446,2.6282017,-0.20655757,-4.958089,-8.299911,3.6729195,1.625817,4.695846,2.8931682,-2.0684373,-0.57386434,5.1713514,-4.7236953,4.9700894,2.6328213,4.8438306,4.1533885,-2.75635,0.53720003,-5.5791283,2.6035197,-0.31515202,1.0019404,-2.1880615,1.59906,0.46816355,-3.4482608,1.8391148,0
12.470518,2.922627,10.708389,-1.7773091,9.759803,20.974981,-12.693445,-8.646611,9.321236,1.6519399,-13.562011,4.1625533,-7.270011,-8.029929,-1.9962565,-2.6169229,4.6261177,-5.893758,-12.150404,0.63755566,-6.0745726,-1.993707,-1.0367312,-6.4607105,6.129994,3.725287,7.9127507,5.57907,-1.5264848,-4.6013293,1.9405084,0.35738102,1.7613325,2.6155093,-0.2908701,6.1345367,6.0594797,1.4499624,-1.1046864,1.4799916,-3.2303305,-2.4170675,-3.1460416,3.6660445,9.064208,1.7217077,-1.0457901,4.252437,3.143951,0.53056616,0
-1.5829996,-5.0887012,-4.3562303,6.5113745,8.116575,12.337375,-2.4688673,-5.700052,5.5144267,0.1287698,-5.266244,-1.674855,-1.9666005,-1.5436956,1.5721116,-0.7931112,-2.6900158,0.44232187,-6.868412,-3.3043575,2.6640937,1.9794619,-2.4853673,-2.7546377,1.0127381,-1.083429,-1.1465101,-2.2244341,0.8696446,1.0625643,-2.7347121,1.7628542,-2.1931612,-5.8748956,0.9867518,3.7469432,-0.25903022,1.8248177,-1.1264894,0.6150631,0.55354244,-0.06039148,-1.2557713,-2.4915586,1.6777614,-1.3940616,-0.44886422,-0.32158297,-0.91359067,-0.92773235,0
23.181696,0.79995996,1.1331252,-24.227392,-0.6616932,17.605442,-21.005568,-4.437746,-8.339784,10.349373,4.3632183,-2.5050042,15.915495,-10.914338,-8.35737,2.633137,-0.44093212,5.1969547,17.76373,1.7351961,9.247608,-4.1109085,-7.8095903,15.268383,-5.7310243,5.050794,13.056523,6.307415,-4.4883995,-5.860723,-5.396119,4.138315,3.5048454,-3.8191988,12.6104765,6.8157163,-2.5922117,5.9484315,-13.377562,13.250467,4.65398,-8.640329,4.847303,-3.0211005,0.97767407,-2.8184795,7.304934,-0.48703954,5.004475,5.2106395,0
8.1381645,11.883064,0.64209646,-2.13863,-4.179996,0.94470006,-10.661462,-7.0697007,14.979965,5.014112,0.1266247,-6.5375385,-4.4383655,9.646448,2.0258157,4.4073234,5.765782,2.9200804,7.8954973,8.348281,5.119377,8.5899,-5.286974,3.9468453,0.49418113,4.6881213,-4.0935364,2.1470342,-0.7553768,-9.681714,-1.5115023,-1.6977423,0.48374996,1.0163109,-2.7180648,-0.5054818,-5.080577,-0.85780275,7.466353,-3.419217,-4.063638,6.5394855,-6.4656563,-5.002307,3.4037223,-1.0367879,2.0342908,-1.0842521,1.7831278,-2.5233479,0
-8.41405,8.435367,8.675399,3.94669,2.8251798,9.79868,-8.191801,-12.8399105,7.7116456,9.77444,2.1032474,3.4711254,0.6356778,4.7837553,-4.081684,2.810971,5.412249,2.2469325,0.5728784,-3.067581,3.040719,3.478218,1.8287681,4.666348,-2.6761613,-0.42495823,-2.5485156,-6.6236377,1.698444,2.1070652,2.7447445,-1.0517666,4.300414,0.9434133,-0.86114407,5.719039,3.1019974,1.0555203,7.0919037,-2.5490234,1.9313878,-0.44168842,7.2815785,-2.5549445,-5.5362263,-2.1356285,-4.39325,1.5442123,-1.3939991,-0.9407028,0
-6.346779,19.287445,-5.935663,0.18929897,3.0333362,-0.09711097,-2.324468,-9.69454,2.7943847,3.7350912,-5.4872694,2.6275113,0.39926404,-2.622016,5.9898906,-2.2813346,6.603027,0.17446922,8.617455,-3.0364523,1.6341362,0.46281734,-1.0633101,-1.8187547,-0.042024605,-2.0349057,-2.8704624,0.17152815,-0.28629512,-3.2761335,4.4785905,-1.1745505,-2.7656927,-0.7184309,-0.93260473,4.0979896,5.16789,-3.3257205,-5.702432,-2.0001776,-1.5203028,0.9388737,1.7977653,-1.3549781,-2.113218,-2.0926728,1.6801009,1.4338096,2.059834,-1.4544066,0
-10.784695,12.138914,-11.191185,0.83899486,-2.700892,-0.96048605,-7.7898088,-7.291831,2.0086918,3.3302774,-3.1372569,-4.1383796,-2.3449192,-0.03874443,0.78544825,-0.76078165,5.1476603,2.4793117,2.8388326,-1.7571546,-3.8981843,4.365302,-0.2641918,-3.8217943,0.87271786,0.23861645,1.9049759,0.0033075628,1.0810754,-1.5842128,1.7742383,1.24854,2.6054702,0.3274557,-0.7394403,0.31466717,-0.56895554,1.8620441,-1.0404879,-0.09195334,1.910987,-2.2716703,2.7610326,-1.8074012,-0.98685217,-0.01909401,0.85610497,-1.3768419,-2.7343132,0.27772763,0
0.36910114,-1.2143519,-7.0694346,3.3474874,9.0472765,1.105309,-0.8338633,-3.8243816,-2.2089918,5.7863903,3.2226105,-0.8579375,-2.357273,-3.7636166,-1.0469135,-1.5545974,-4.145334,5.025881,0.8463571,-9.02384,-1.251488,-2.193942,1.6964592,-1.0262309,0.1242846,-0.28164008,-2.8146105,0.6267217,-0.45482802,0.9726462,-2.8624585,2.781157,-0.54510367,-4.020459,-0.5376298,-1.0177867,-3.6573718,4.8736405,-1.1676612,1.4565322,0.51940775,1.5383289,0.31164598,1.5478425,-1.8291157,-0.27357084,-0.8535084,-0.42674997,1.6268057,-4.181118,0
-13.515882,14.73452,-3.9352837,6.146331,7.818207,-3.6022289,-5.1427255,-1.5061647,0.8738749,3.254503,-5.337122,-5.5291944,3.1256068,1.6880571,1.9496106,-4.4603033,-0.76023304,-0.51133776,0.37102008,-1.8382277,-3.1716912,-1.522049,1.0887642,-0.8569005,-1.7628752,2.9710178,-1.7588396,-1.4374309,-0.72865117,0.86131054,-1.8808789,1.0566716,3.2310574,0.30872425,-3.218051,2.354613,0.45292446,2.380852,-2.2975905,1.4334306,2.4975228,2.2700617,1.3929708,1.9645661,-1.1203308,-0.7984066,-5.510416,-1.2053279,-2.6826684,-2.7780108,0
